"givenICCpre","rho","MeanICCPost","MeanICCPre"
0.1,0.1,0.00105618691519802,0.10028465979535
0.15,0.1,0.00150532306587669,0.149694176486918
0.2,0.1,0.002074302027138,0.198755778698576
0.25,0.1,0.00249778377334551,0.248172981727169
0.3,0.1,0.00294644293757927,0.297224673410117
0.35,0.1,0.00344582341724708,0.346350219433782
0.4,0.1,0.00383929910673155,0.396764305064412
0.45,0.1,0.00435834399323504,0.445842167145833
0.5,0.1,0.00482677294155499,0.495045168551636
0.55,0.1,0.00514398496637904,0.544236995899771
0.6,0.1,0.00567556724534947,0.593657130070466
0.1,0.2,0.00392388676835302,0.101273835360394
0.15,0.2,0.00579926871996509,0.150742315389517
0.2,0.2,0.00768482579354487,0.199877519618524
0.25,0.2,0.00957380756060841,0.249303665677738
0.3,0.2,0.0114870366112033,0.298379185205679
0.35,0.2,0.0134919554277297,0.347519989203665
0.4,0.2,0.0150904144472257,0.39585322913419
0.45,0.2,0.0168996670276403,0.444421159713074
0.5,0.2,0.018855703992484,0.493451485802535
0.55,0.2,0.020601161474503,0.54295435176464
0.6,0.2,0.0225054100428219,0.592784286024911
0.1,0.3,0.00864230318177114,0.0998813786750788
0.15,0.3,0.0128656418387423,0.149345263576511
0.2,0.3,0.0171708477560131,0.198443827462624
0.25,0.3,0.021458231489034,0.247696169122365
0.3,0.3,0.0257613759149722,0.297005019415384
0.35,0.3,0.0299805290679443,0.346068974208503
0.4,0.3,0.0340245156875563,0.396251583131433
0.45,0.3,0.0382618404228762,0.445335833397408
0.5,0.3,0.0425222205751451,0.494628092297381
0.55,0.3,0.0468412882095684,0.544125431122292
0.6,0.3,0.0514459755113182,0.593916152592848
0.1,0.4,0.0154501097983083,0.100354246342913
0.15,0.4,0.0229857857228816,0.149650763287575
0.2,0.4,0.0308234003622925,0.199552554374348
0.25,0.4,0.0383141228858613,0.248917888342016
0.3,0.4,0.0460296814651165,0.298268286990111
0.35,0.4,0.0538649443366552,0.34779190723916
0.4,0.4,0.0613918305028676,0.397118149409887
0.45,0.4,0.0691238060500156,0.446447881459582
0.5,0.4,0.0768998604302392,0.495918007568537
0.55,0.4,0.0845144386116261,0.545330039207981
0.6,0.4,0.0923136187071079,0.594882359291406
0.1,0.5,0.0241548470795809,0.100460417773713
0.15,0.5,0.0364436901164435,0.15014136346253
0.2,0.5,0.0483624241711624,0.199777541159608
0.25,0.5,0.0603735899540942,0.249220864446492
0.3,0.5,0.0724405585675566,0.298539376553562
0.35,0.5,0.0840051340505314,0.347550287342571
0.4,0.5,0.095914660234398,0.396811005198721
0.45,0.5,0.107904495461353,0.446243711445492
0.5,0.5,0.120002776095834,0.495106264136955
0.55,0.5,0.132050042279691,0.544539805229449
0.6,0.5,0.144126297919393,0.594472580882378
0.1,0.6,0.0348150893549394,0.100263402156238
0.15,0.6,0.0522166157507898,0.149796106385271
0.2,0.6,0.0699357761660993,0.199485151512796
0.25,0.6,0.0873570030954234,0.248950080055827
0.3,0.6,0.104622429462411,0.298221973315669
0.35,0.6,0.121845334330043,0.34738642964713
0.4,0.6,0.139309218054391,0.396871837379493
0.45,0.6,0.156451954561445,0.446084188565231
0.5,0.6,0.173871605533025,0.495190616388164
0.55,0.6,0.191151964543117,0.544689516887905
0.6,0.6,0.208476314456061,0.594157814172795
0.1,0.7,0.0479383273620142,0.100227235267857
0.15,0.7,0.0716526765915039,0.149695196944572
0.2,0.7,0.095462017002832,0.199072877690557
0.25,0.7,0.119142776417534,0.248418924035339
0.3,0.7,0.14297577829334,0.297764505854595
0.35,0.7,0.166547743540213,0.346994592113318
0.4,0.7,0.190296980252927,0.39624857564782
0.45,0.7,0.213943611789962,0.445755193528251
0.5,0.7,0.237582560465565,0.495166988487599
0.55,0.7,0.261111591222013,0.544573137637316
0.6,0.7,0.284736601962252,0.593946360404769
0.1,0.8,0.0630881064374039,0.100289743547881
0.15,0.8,0.0949014798299535,0.150202751538952
0.2,0.8,0.126185446557236,0.199819466336319
0.25,0.8,0.157203693661588,0.249157776037874
0.3,0.8,0.188278206867898,0.298403260315704
0.35,0.8,0.219457077505494,0.347774694189165
0.4,0.8,0.250971719918517,0.3978137477099
0.45,0.8,0.281295158736741,0.446237140679877
0.5,0.8,0.312443056705846,0.49638889373162
0.55,0.8,0.342655250688874,0.545018350334278
0.6,0.8,0.373573528010117,0.594648021215114
0.1,0.9,0.0805275548699971,0.100522655702948
0.15,0.9,0.12040440839437,0.15013866267412
0.2,0.9,0.159913316176123,0.199441069368944
0.25,0.9,0.199375387414457,0.248769305276085
0.3,0.9,0.238952656884302,0.298126843122864
0.35,0.9,0.278344394087569,0.347087047749227
0.4,0.9,0.317746205795596,0.396515380038399
0.45,0.9,0.356971151982968,0.445916754076958
0.5,0.9,0.396111746834573,0.495343896040076
0.55,0.9,0.435262290909524,0.544705408643987
0.6,0.9,0.474345443581301,0.594241457778176
